"player_id","startyr","endyr"
"aardsda01",2004,2015
"aasedo01",1977,1990
"abadan01",2001,2006
"abadfe01",2010,2015
"abbotgl01",1973,1984
"abbotji01",1989,1999
"abbotku01",1993,2001
"abbotky01",1991,1996
"abbotpa01",1990,2004
"abnersh01",1987,1992
"abreubo01",1996,2014
"abreuto01",2007,2014
"accarje01",2005,2012
"aceveal01",2008,2014
"aceveju01",1995,2003
"ackerji01",1983,1992
"acostma01",2007,2012
"adamsgl01",1975,1982
"adamsmi02",1972,1978
"adamsmi03",2004,2014
"adamsru01",2004,2009
"adamste01",1995,2005
"adducji01",1983,1989
"adkinjo01",2003,2008
"afenitr01",1987,1992
"affelje01",2002,2015
"agostju01",1981,1993
"aguaylu01",1980,1989
"aguilri01",1985,2000
"aikenwi01",1977,1985
"akerfda01",1986,1991
"albaljo01",2007,2012
"alberma01",2006,2015
"aldremi01",1986,1996
"aldresc01",1990,2000
"aldrico01",2001,2010
"alexado01",1971,1989
"alexaga01",1975,1981
"alexama01",1973,1981
"alexama02",1992,2006
"alfonan01",1997,2007
"alfoned01",1995,2006
"alfonel01",2006,2011
"alicelu01",1988,2002
"allanan01",1986,1995
"allench01",1999,2005
"allenga01",1979,1985
"allenne01",1979,1989
"allenro02",1983,1988
"almanar01",1999,2005
"almanca01",1997,2005
"almonbi01",1974,1988
"almoner01",2001,2011
"alomaro01",1988,2004
"alomasa02",1988,2007
"alonsyo01",2010,2015
"aloumo01",1990,2008
"alvarjo01",1981,1989
"alvarpe01",2010,2015
"alvarwi01",1989,2005
"amarari01",1991,2000
"amaroru02",1991,1998
"amezaal01",2002,2011
"anderal02",1986,1991
"anderbr01",1988,2002
"anderbr02",1993,2005
"anderbr04",2009,2015
"anderbr05",2010,2015
"anderda02",1983,1992
"anderga01",1994,2010
"anderji01",1978,1984
"anderji02",1999,2004
"anderla02",1975,1994
"anderma01",1998,2005
"anderma02",1998,2009
"andermi01",1971,1979
"andersc01",1987,1995
"andinro01",2005,2013
"andresh01",1995,2002
"andruel01",2009,2015
"andujjo01",1976,1988
"ankieri01",1999,2013
"anthoer01",1989,1997
"appieke01",1989,2004
"aquingr01",2004,2009
"aquinlu01",1986,1995
"ardoida01",2000,2008
"arencjp01",2010,2015
"ariasal01",1992,2002
"ariasjo01",2006,2015
"armasto01",1976,1989
"armasto02",1999,2008
"armstja01",1988,1994
"armstmi01",1980,1987
"arnolch01",1971,1976
"arnsbbr01",1986,1992
"arrieja01",2010,2015
"arroybr01",2000,2014
"arroyfe01",1975,1986
"ashbyal01",1973,1989
"ashbyan01",1991,2004
"ashfotu01",1976,1984
"ashlebi01",1992,1998
"asselbr01",1976,1981
"assenpa01",1986,1999
"astacpe01",1992,2006
"atchisc01",2004,2015
"atherke01",1983,1989
"atkinga01",2003,2010
"auerbri01",1971,1981
"augusje01",1975,1984
"aurilri01",1995,2009
"ausmubr01",1993,2010
"austiri01",1970,1976
"avenbr01",1997,2002
"averyst01",1990,2003
"avilaal01",2009,2015
"avilemi01",2008,2015
"axforjo01",2009,2015
"ayalabe01",1974,1985
"ayalabo01",1992,1999
"ayalalu01",2003,2013
"aybarer01",2006,2015
"aybarma01",1997,2005
"aybarwi01",2005,2010
"backebr01",2002,2009
"backmwa01",1980,1993
"bacsimi01",1975,1980
"bacsimi02",2001,2007
"badenbu01",2008,2015
"baergca01",1990,2005
"baezda01",2001,2011
