player_id,year,stint,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
forscke01,1982,1,CAL,AL,37,,,,,,,,,,,,,,,,
baylodo01,1970,1,BAL,AL,8,17.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
biittla01,1970,1,WS2,AL,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blylebe01,1970,1,MIN,AL,27,50.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,7.0,0.0,0.0
bowala01,1970,1,PHI,NL,145,547.0,50.0,137.0,17.0,6.0,0.0,34.0,24.0,13.0,21.0,48.0,1.0,0.0,6.0,3.0,8.0
bryest01,1970,1,MIN,AL,9,11.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
burroje01,1970,1,WS2,AL,6,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
cedence01,1970,1,HOU,NL,90,355.0,46.0,110.0,21.0,4.0,7.0,42.0,17.0,4.0,15.0,57.0,2.0,2.0,3.0,2.0,8.0
clinege01,1970,1,PIT,NL,31,37.0,4.0,15.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0
conceda01,1970,1,CIN,NL,101,265.0,38.0,69.0,6.0,3.0,1.0,19.0,10.0,2.0,23.0,45.0,5.0,3.0,3.0,2.0,10.0
cruzjo01,1970,1,SLN,NL,6,17.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
curtijo01,1970,1,BOS,AL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duffyfr01,1970,1,CIN,NL,6,11.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
fergujo01,1970,1,LAN,NL,5,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
foliti01,1970,1,NYN,NL,5,11.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
forscke01,1970,1,HOU,NL,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
grichbo01,1970,1,BAL,AL,30,95.0,11.0,20.0,1.0,3.0,0.0,8.0,1.0,1.0,9.0,21.0,0.0,0.0,0.0,0.0,2.0
grievto01,1970,1,WS2,AL,47,116.0,12.0,23.0,5.0,1.0,3.0,10.0,0.0,0.0,14.0,38.0,0.0,1.0,0.0,0.0,1.0
hosleti01,1970,1,DET,AL,7,12.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
lowenjo01,1970,1,CLE,AL,17,43.0,5.0,11.0,3.0,1.0,1.0,6.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
luzingr01,1970,1,PHI,NL,8,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0
maddoel01,1970,1,DET,AL,109,258.0,30.0,64.0,13.0,4.0,3.0,24.0,2.0,3.0,30.0,42.0,1.0,3.0,1.0,1.0,6.0
martite01,1970,1,NYN,NL,4,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
maymi01,1970,1,PIT,NL,5,4.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
metzgro01,1970,1,CHN,NL,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
montgbo01,1970,1,BOS,AL,22,78.0,8.0,14.0,2.0,0.0,1.0,4.0,0.0,0.0,6.0,20.0,0.0,1.0,0.0,1.0,4.0
oatesjo01,1970,1,BAL,AL,5,18.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
pacioto01,1970,1,LAN,NL,8,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
rivermi01,1970,1,CAL,AL,17,25.0,6.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0
singlke01,1970,1,NYN,NL,69,198.0,22.0,52.0,8.0,0.0,5.0,26.0,1.0,1.0,30.0,48.0,1.0,1.0,4.0,1.0,5.0
stantle01,1970,1,NYN,NL,4,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
andermi01,1971,1,PHI,NL,26,89.0,11.0,22.0,5.0,1.0,2.0,5.0,0.0,0.0,13.0,28.0,0.0,0.0,1.0,0.0,0.0
