player_id,start_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
castrra01,1999,207,466.0,40.0,99.0,17.0,0.0,18.0,53.0,0.0,0.0,56.0,116.0,15.0,2.0,1.0,6.0,7.0
wisede01,2000,147,296.0,41.0,60.0,13.0,5.0,9.0,30.0,12.0,1.0,14.0,48.0,1.0,2.0,2.0,1.0,1.0
jeterde01,1995,786,3130.0,605.0,1008.0,153.0,35.0,78.0,414.0,108.0,37.0,341.0,572.0,11.0,48.0,23.0,23.0,66.0
husonje01,1988,462,1143.0,153.0,266.0,42.0,9.0,6.0,85.0,43.0,14.0,136.0,148.0,7.0,3.0,28.0,10.0,29.0
izturce01,2001,658,2437.0,261.0,632.0,111.0,22.0,11.0,191.0,59.0,34.0,121.0,259.0,15.0,6.0,38.0,13.0,41.0
vidrojo01,1997,719,2564.0,396.0,782.0,197.0,9.0,72.0,346.0,14.0,12.0,207.0,292.0,9.0,25.0,21.0,19.0,65.0
torrean02,2002,89,257.0,33.0,54.0,6.0,4.0,1.0,13.0,9.0,7.0,17.0,57.0,0.0,1.0,6.0,4.0,7.0
camermi01,1995,597,1909.0,310.0,473.0,98.0,21.0,63.0,244.0,112.0,33.0,254.0,502.0,3.0,26.0,18.0,17.0,28.0
mullira01,1977,322,867.0,95.0,205.0,47.0,3.0,9.0,81.0,6.0,4.0,81.0,139.0,3.0,4.0,11.0,9.0,21.0
bumbral01,1972,593,1954.0,305.0,558.0,90.0,29.0,23.0,162.0,113.0,36.0,175.0,340.0,11.0,11.0,11.0,13.0,21.0
pencehu01,2007,894,3473.0,475.0,991.0,183.0,30.0,138.0,516.0,67.0,39.0,277.0,702.0,10.0,14.0,1.0,22.0,89.0
reuscri01,1972,215,450.0,31.0,87.0,15.0,2.0,2.0,28.0,0.0,2.0,13.0,114.0,0.0,2.0,43.0,2.0,5.0
barmecl01,2003,378,1354.0,180.0,356.0,78.0,12.0,30.0,159.0,24.0,13.0,59.0,210.0,8.0,20.0,30.0,10.0,18.0
webstle01,1989,193,427.0,48.0,111.0,26.0,1.0,10.0,53.0,1.0,2.0,46.0,56.0,2.0,6.0,3.0,1.0,13.0
larueja01,1999,533,1674.0,203.0,401.0,95.0,6.0,62.0,222.0,11.0,11.0,129.0,493.0,22.0,72.0,6.0,11.0,45.0
bellda01,1995,591,1913.0,231.0,486.0,105.0,10.0,46.0,214.0,12.0,14.0,151.0,296.0,8.0,13.0,12.0,19.0,34.0
bakerje03,2005,379,970.0,147.0,262.0,63.0,9.0,30.0,130.0,8.0,0.0,79.0,254.0,3.0,6.0,1.0,9.0,27.0
cruzjo02,1997,747,2742.0,424.0,689.0,148.0,21.0,134.0,389.0,86.0,21.0,329.0,680.0,17.0,3.0,7.0,18.0,37.0
ripkeca01,1981,830,3210.0,529.0,927.0,183.0,20.0,133.0,472.0,11.0,13.0,313.0,417.0,10.0,10.0,2.0,27.0,111.0
lindjo01,1987,779,2816.0,292.0,717.0,111.0,23.0,8.0,249.0,50.0,11.0,180.0,288.0,49.0,6.0,47.0,25.0,83.0
incavpe01,1986,791,2786.0,371.0,679.0,132.0,14.0,135.0,426.0,27.0,23.0,255.0,880.0,11.0,28.0,1.0,25.0,59.0
oswalro01,2001,190,373.0,17.0,59.0,6.0,0.0,1.0,23.0,0.0,0.0,16.0,103.0,0.0,3.0,57.0,1.0,3.0
nortogr01,1996,454,1218.0,164.0,305.0,64.0,7.0,46.0,158.0,9.0,8.0,146.0,296.0,6.0,6.0,3.0,8.0,30.0
puntoni01,2001,362,1047.0,149.0,273.0,41.0,11.0,8.0,87.0,38.0,14.0,102.0,198.0,1.0,1.0,18.0,9.0,19.0
lacocpe01,1972,351,843.0,102.0,204.0,34.0,5.0,18.0,102.0,4.0,7.0,107.0,108.0,16.0,3.0,6.0,10.0,21.0
pradoma01,2006,527,1929.0,274.0,566.0,126.0,10.0,42.0,216.0,13.0,15.0,139.0,239.0,4.0,7.0,19.0,15.0,51.0
mazzile01,1976,736,2655.0,349.0,714.0,133.0,21.0,61.0,303.0,139.0,66.0,376.0,383.0,31.0,10.0,6.0,20.0,30.0
hockide01,1993,309,670.0,90.0,150.0,28.0,7.0,6.0,55.0,12.0,9.0,50.0,133.0,2.0,1.0,10.0,4.0,14.0
baineha01,1980,847,3184.0,420.0,908.0,153.0,36.0,119.0,501.0,27.0,17.0,225.0,450.0,51.0,5.0,8.0,37.0,83.0
fieldpr01,2005,836,2958.0,476.0,826.0,164.0,8.0,192.0,536.0,15.0,9.0,459.0,673.0,83.0,68.0,0.0,33.0,64.0
armasto02,1999,103,157.0,4.0,16.0,1.0,1.0,0.0,7.0,0.0,0.0,2.0,53.0,0.0,0.0,19.0,0.0,0.0
bordimi01,1990,668,2118.0,227.0,556.0,76.0,11.0,16.0,198.0,43.0,25.0,188.0,250.0,7.0,31.0,46.0,20.0,39.0
lockhke01,1994,572,1424.0,189.0,392.0,81.0,10.0,31.0,184.0,25.0,10.0,110.0,146.0,6.0,10.0,8.0,23.0,19.0
sanchfr01,2002,477,1706.0,227.0,529.0,123.0,10.0,22.0,207.0,5.0,5.0,92.0,178.0,9.0,20.0,10.0,21.0,31.0
readyra01,1983,359,1104.0,170.0,297.0,64.0,16.0,25.0,137.0,15.0,6.0,149.0,136.0,4.0,7.0,12.0,6.0,21.0
kleskry01,1992,530,1600.0,250.0,447.0,83.0,15.0,100.0,300.0,16.0,11.0,192.0,388.0,29.0,10.0,1.0,13.0,38.0
knighra01,1974,327,719.0,80.0,214.0,46.0,5.0,12.0,98.0,5.0,5.0,51.0,88.0,5.0,3.0,5.0,9.0,25.0
stairma01,1992,252,615.0,94.0,174.0,34.0,2.0,38.0,120.0,4.0,4.0,80.0,105.0,3.0,5.0,2.0,7.0,13.0
valenfe01,1980,179,427.0,26.0,85.0,8.0,1.0,6.0,39.0,0.0,2.0,6.0,69.0,0.0,0.0,42.0,4.0,7.0
falcope01,1975,182,282.0,14.0,42.0,2.0,1.0,0.0,9.0,1.0,0.0,8.0,94.0,0.0,1.0,33.0,0.0,5.0
mearepa01,1993,742,2464.0,304.0,653.0,120.0,21.0,41.0,303.0,42.0,25.0,95.0,432.0,2.0,45.0,24.0,30.0,71.0
kubelja01,2004,511,1675.0,229.0,465.0,98.0,9.0,71.0,279.0,9.0,3.0,162.0,330.0,13.0,4.0,3.0,19.0,47.0
iorgga01,1978,420,1278.0,129.0,337.0,63.0,11.0,5.0,102.0,14.0,6.0,47.0,157.0,6.0,7.0,9.0,12.0,27.0
izturma01,2004,508,1663.0,257.0,463.0,87.0,16.0,24.0,216.0,58.0,17.0,159.0,183.0,8.0,11.0,14.0,15.0,33.0
myersbr01,2002,193,270.0,12.0,34.0,7.0,0.0,0.0,9.0,0.0,0.0,14.0,91.0,0.0,0.0,35.0,0.0,7.0
fordybr01,1995,310,886.0,93.0,250.0,59.0,2.0,27.0,121.0,4.0,1.0,61.0,142.0,4.0,7.0,6.0,8.0,12.0
palmede01,1989,490,1689.0,250.0,387.0,81.0,6.0,93.0,265.0,24.0,20.0,173.0,507.0,6.0,17.0,3.0,11.0,25.0
bowala01,1970,876,3474.0,409.0,900.0,94.0,46.0,4.0,187.0,142.0,56.0,160.0,275.0,12.0,11.0,69.0,13.0,45.0
aldremi01,1986,618,1457.0,179.0,391.0,72.0,8.0,17.0,176.0,16.0,16.0,227.0,251.0,25.0,4.0,11.0,11.0,26.0
cangejo01,1985,491,976.0,160.0,233.0,34.0,9.0,6.0,68.0,98.0,37.0,180.0,143.0,3.0,16.0,14.0,6.0,11.0
desseel01,1996,136,110.0,10.0,17.0,1.0,0.0,0.0,5.0,0.0,0.0,11.0,32.0,0.0,0.0,14.0,0.0,0.0
washiro01,1977,157,554.0,60.0,148.0,20.0,7.0,5.0,45.0,8.0,5.0,18.0,95.0,0.0,2.0,3.0,3.0,13.0
bailobo01,1975,537,1891.0,232.0,498.0,75.0,20.0,8.0,138.0,46.0,29.0,128.0,107.0,7.0,15.0,22.0,11.0,26.0
riverju01,2001,452,1449.0,190.0,422.0,87.0,2.0,58.0,225.0,8.0,16.0,106.0,185.0,8.0,8.0,4.0,9.0,52.0
hodgero01,1973,282,671.0,55.0,162.0,21.0,1.0,12.0,72.0,3.0,5.0,77.0,80.0,8.0,1.0,5.0,8.0,17.0
bautijo02,2004,575,1754.0,241.0,418.0,90.0,8.0,59.0,211.0,14.0,9.0,220.0,434.0,9.0,26.0,22.0,16.0,52.0
landrke01,1977,624,2235.0,299.0,614.0,101.0,33.0,41.0,264.0,75.0,27.0,165.0,230.0,18.0,13.0,28.0,20.0,44.0
custja01,2001,70,144.0,16.0,32.0,9.0,0.0,5.0,19.0,0.0,1.0,23.0,59.0,0.0,1.0,0.0,1.0,3.0
abbotku01,1993,521,1592.0,210.0,409.0,85.0,20.0,48.0,189.0,17.0,8.0,103.0,448.0,9.0,16.0,19.0,10.0,31.0
rossda01,2002,371,982.0,114.0,218.0,44.0,3.0,57.0,141.0,0.0,0.0,103.0,303.0,12.0,13.0,11.0,16.0,23.0
butlebr01,1981,752,2695.0,442.0,747.0,95.0,53.0,17.0,198.0,200.0,89.0,317.0,277.0,7.0,11.0,42.0,19.0,28.0
snydeco02,1986,728,2597.0,312.0,624.0,117.0,10.0,118.0,357.0,19.0,14.0,142.0,702.0,16.0,6.0,6.0,21.0,51.0
iviemi01,1971,269,833.0,88.0,223.0,35.0,7.0,16.0,122.0,10.0,10.0,53.0,113.0,11.0,10.0,7.0,9.0,25.0
mosesjo01,1982,386,1060.0,147.0,263.0,42.0,10.0,7.0,86.0,70.0,41.0,83.0,152.0,5.0,5.0,15.0,7.0,20.0
hallme01,1981,440,1416.0,210.0,398.0,85.0,13.0,47.0,203.0,15.0,12.0,136.0,277.0,23.0,9.0,1.0,14.0,19.0
maddoga01,1972,805,3111.0,431.0,920.0,177.0,44.0,56.0,376.0,134.0,47.0,175.0,408.0,30.0,27.0,7.0,25.0,38.0
