player_id,end_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
castrra01,2011,360,960.0,115.0,239.0,49.0,0.0,49.0,164.0,2.0,0.0,95.0,259.0,7.0,3.0,7.0,7.0,19.0
wisede01,2013,429,813.0,108.0,193.0,32.0,11.0,22.0,85.0,43.0,12.0,32.0,197.0,1.0,8.0,10.0,6.0,12.0
jeterde01,2014,1961,8065.0,1318.0,2457.0,391.0,31.0,182.0,897.0,250.0,60.0,741.0,1268.0,28.0,122.0,74.0,35.0,221.0
husonje01,2000,365,736.0,89.0,173.0,23.0,4.0,2.0,65.0,21.0,7.0,55.0,80.0,2.0,3.0,6.0,6.0,26.0
izturce01,2013,652,1913.0,180.0,471.0,66.0,12.0,6.0,121.0,51.0,19.0,105.0,172.0,6.0,16.0,25.0,5.0,47.0
vidrojo01,2008,699,2549.0,324.0,742.0,144.0,3.0,56.0,308.0,9.0,4.0,271.0,264.0,26.0,12.0,15.0,25.0,80.0
torrean02,2013,561,1653.0,244.0,408.0,107.0,25.0,31.0,161.0,68.0,22.0,188.0,419.0,5.0,10.0,13.0,6.0,29.0
camermi01,2011,1358,4930.0,754.0,1227.0,285.0,38.0,215.0,724.0,185.0,50.0,613.0,1399.0,16.0,61.0,13.0,43.0,86.0
mullira01,1992,1003,2702.0,350.0,767.0,179.0,14.0,64.0,354.0,9.0,8.0,379.0,416.0,25.0,3.0,10.0,23.0,84.0
bumbral01,1985,903,3099.0,473.0,864.0,130.0,23.0,31.0,240.0,141.0,56.0,296.0,369.0,19.0,10.0,33.0,17.0,53.0
pencehu01,2015,376,1486.0,227.0,415.0,77.0,16.0,56.0,213.0,39.0,10.0,120.0,293.0,6.0,6.0,0.0,6.0,38.0
reuscri01,1991,364,665.0,51.0,100.0,20.0,2.0,2.0,51.0,3.0,3.0,33.0,203.0,0.0,1.0,92.0,3.0,6.0
barmecl01,2015,808,2451.0,254.0,576.0,130.0,5.0,59.0,256.0,19.0,17.0,157.0,524.0,24.0,40.0,30.0,16.0,36.0
webstle01,2000,394,1023.0,109.0,257.0,47.0,1.0,23.0,123.0,0.0,1.0,94.0,153.0,3.0,6.0,8.0,3.0,40.0
larueja01,2010,389,1045.0,104.0,227.0,53.0,1.0,34.0,126.0,3.0,0.0,108.0,267.0,17.0,35.0,16.0,7.0,29.0
bellda01,2006,812,2913.0,356.0,753.0,162.0,8.0,77.0,375.0,7.0,6.0,277.0,391.0,17.0,31.0,20.0,31.0,89.0
bakerje03,2015,369,823.0,97.0,212.0,45.0,6.0,24.0,105.0,6.0,1.0,60.0,218.0,3.0,3.0,0.0,7.0,28.0
cruzjo02,2008,641,1982.0,289.0,478.0,104.0,15.0,70.0,235.0,27.0,18.0,329.0,467.0,20.0,2.0,16.0,20.0,36.0
ripkeca01,2001,2171,8341.0,1118.0,2257.0,420.0,24.0,298.0,1223.0,25.0,26.0,816.0,888.0,97.0,56.0,8.0,100.0,239.0
lindjo01,1995,265,861.0,76.0,218.0,34.0,4.0,1.0,75.0,12.0,8.0,35.0,82.0,1.0,2.0,22.0,6.0,19.0
incavpe01,1998,493,1447.0,175.0,364.0,62.0,7.0,71.0,229.0,6.0,3.0,105.0,397.0,10.0,17.0,0.0,13.0,26.0
oswalro01,2013,180,284.0,13.0,42.0,1.0,0.0,0.0,13.0,0.0,0.0,11.0,78.0,0.0,2.0,49.0,0.0,3.0
nortogr01,2009,653,1192.0,151.0,295.0,62.0,1.0,43.0,180.0,6.0,10.0,177.0,308.0,10.0,5.0,3.0,6.0,22.0
puntoni01,2014,801,2206.0,272.0,525.0,100.0,16.0,11.0,176.0,66.0,22.0,284.0,453.0,8.0,2.0,45.0,20.0,44.0
lacocpe01,1980,364,886.0,112.0,240.0,52.0,6.0,9.0,122.0,4.0,1.0,75.0,63.0,10.0,2.0,2.0,11.0,31.0
pradoma01,2015,583,2262.0,265.0,653.0,126.0,14.0,45.0,273.0,24.0,10.0,168.0,270.0,8.0,16.0,5.0,27.0,77.0
mazzile01,1989,739,1469.0,222.0,354.0,58.0,3.0,32.0,157.0,58.0,24.0,266.0,244.0,10.0,10.0,6.0,13.0,33.0
hockide01,2005,645,1688.0,204.0,441.0,84.0,10.0,19.0,171.0,24.0,18.0,155.0,309.0,3.0,6.0,28.0,20.0,29.0
baineha01,2001,1983,6724.0,879.0,1958.0,335.0,13.0,265.0,1127.0,7.0,17.0,837.0,991.0,136.0,9.0,1.0,62.0,215.0
fieldpr01,2015,686,2537.0,357.0,750.0,141.0,2.0,119.0,448.0,3.0,2.0,356.0,419.0,80.0,49.0,0.0,23.0,82.0
armasto02,2008,83,111.0,2.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,46.0,0.0,0.0,8.0,0.0,2.0
bordimi01,2003,1052,3652.0,449.0,944.0,181.0,19.0,75.0,428.0,53.0,33.0,312.0,550.0,3.0,32.0,51.0,34.0,106.0
lockhke01,2003,407,844.0,101.0,199.0,36.0,7.0,13.0,84.0,5.0,5.0,85.0,122.0,17.0,4.0,14.0,7.0,17.0
sanchfr01,2011,427,1696.0,207.0,483.0,92.0,7.0,26.0,164.0,8.0,4.0,88.0,242.0,9.0,12.0,25.0,16.0,36.0
readyra01,1995,418,1006.0,142.0,250.0,43.0,5.0,15.0,102.0,12.0,9.0,177.0,140.0,4.0,5.0,9.0,13.0,20.0
kleskry01,2007,1206,4011.0,624.0,1117.0,260.0,18.0,178.0,687.0,75.0,30.0,625.0,689.0,55.0,19.0,3.0,42.0,87.0
knighra01,1988,1168,4110.0,410.0,1097.0,220.0,22.0,72.0,497.0,9.0,20.0,292.0,491.0,38.0,33.0,17.0,52.0,144.0
stairma01,2011,1643,4589.0,676.0,1192.0,260.0,11.0,227.0,779.0,26.0,20.0,637.0,1017.0,56.0,52.0,3.0,33.0,96.0
valenfe01,1997,295,509.0,30.0,102.0,18.0,0.0,4.0,45.0,0.0,0.0,2.0,76.0,0.0,0.0,51.0,2.0,5.0
falcope01,1984,143,134.0,3.0,20.0,3.0,0.0,1.0,12.0,0.0,0.0,0.0,47.0,0.0,0.0,10.0,1.0,5.0
mearepa01,2001,240,823.0,97.0,196.0,37.0,3.0,17.0,79.0,1.0,2.0,55.0,156.0,9.0,12.0,8.0,4.0,23.0
kubelja01,2014,525,1805.0,213.0,448.0,89.0,10.0,69.0,285.0,3.0,4.0,193.0,504.0,21.0,7.0,0.0,15.0,42.0
iorgga01,1987,511,1172.0,122.0,296.0,62.0,5.0,15.0,136.0,9.0,11.0,67.0,141.0,3.0,4.0,12.0,7.0,28.0
izturma01,2014,401,1350.0,149.0,347.0,72.0,1.0,15.0,118.0,35.0,16.0,108.0,172.0,3.0,13.0,8.0,9.0,28.0
